itterations,accs,epoch,train_loss,val_loss
0,34.95,0,233.8659312725067,34.35458862781525
0,64.19,5,102.63384574651718,20.062180280685425
0,73.24,10,77.34602773189545,15.507096648216248
0,73.6,15,63.311982572078705,15.71631371974945
0,76.97,20,54.57475709915161,13.946509003639221
0,78.96,25,48.411523163318634,12.468471944332123
0,78.83,30,43.46266832947731,12.926700234413147
0,80.3,35,39.20529234409332,12.438689827919006
0,80.76,40,34.88599655032158,12.249488830566406
0,81.12,45,32.84119826555252,11.996690511703491
0,81.04,50,29.71158254146576,12.562407970428467
0,80.29,55,27.408016219735146,13.126681327819824
0,80.82,60,25.65098401904106,13.602668762207031
0,82.11,65,24.214732065796852,12.635374963283539
0,81.71,70,22.721417412161827,13.151585400104523
0,82.48,75,21.226687103509903,12.463246524333954
0,81.8,80,20.000486463308334,13.331224381923676
0,82.15,85,19.087763279676437,13.28417557477951
0,83.08,90,17.39700388163328,12.781877279281616
0,81.71,95,16.884447917342186,14.196545660495758
0,85.2,100,10.325656592845917,11.526590675115585
0,85.47,105,5.346212826669216,12.844047844409943
0,85.37,110,4.34807388484478,13.794351935386658
0,85.28,115,3.4941651597619057,14.442610740661621
0,85.63,120,3.1794520542025566,14.822633385658264
0,85.57,125,2.70206259470433,15.249154031276703
0,85.67,130,2.6359986253082752,15.807702660560608
0,85.51,135,2.311343883164227,16.159153401851654
0,85.67,140,2.1301021720282733,16.142459988594055
0,85.6,145,1.9100030143745244,16.542185187339783
0,85.74,150,1.6377215986140072,16.600286960601807
0,85.81,155,1.5386426597833633,16.56076580286026
0,85.84,160,1.3949022388551384,16.629701018333435
0,85.72,165,1.3823112840764225,16.63677853345871
0,85.75,170,1.3212176207453012,16.72982108592987
0,85.8,175,1.2739995610900223,16.74716955423355
0,85.86,180,1.2726210241671652,16.782286524772644
0,85.99,185,1.2911514698062092,16.810688734054565
0,85.87,190,1.2580451956018806,16.82345986366272
0,85.9,195,1.0824836096726358,16.83817023038864
0,85.86,200,1.1974731455557048,16.950306594371796
1,37.07,0,215.145099401474,47.77138030529022
1,61.57,5,103.77504140138626,22.764005184173584
1,70.66,10,76.10748153924942,16.998490154743195
1,75.3,15,63.54691410064697,14.815997004508972
1,74.7,20,54.08319592475891,15.351006031036377
1,79.23,25,47.893001943826675,12.743431091308594
1,79.26,30,42.91718927025795,12.471780478954315
1,79.56,35,38.58989670872688,12.632671594619751
1,80.87,40,34.25990942120552,12.4180828332901
1,81.68,45,31.913341864943504,12.09808099269867
1,81.63,50,28.887080311775208,11.854518443346024
1,82.46,55,27.061569437384605,12.078749597072601
1,81.34,60,25.008628740906715,12.281764686107635
1,81.71,65,23.485982447862625,12.272765904664993
1,82.41,70,22.16003192961216,12.609061419963837
1,81.24,75,20.222702249884605,13.728910207748413
1,82.84,80,18.72449529916048,12.595581978559494
1,82.08,85,18.114706978201866,13.603922069072723
1,82.61,90,17.391533359885216,13.155621230602264
1,82.35,95,16.515345491468906,13.722681254148483
1,84.82,100,10.203469961881638,11.535293251276016
1,85.39,105,5.072840090841055,12.987047880887985
1,85.5,110,3.8331312462687492,14.162842780351639
1,85.65,115,3.341654426418245,14.478646576404572
1,85.39,120,2.895768400747329,15.204595685005188
1,85.49,125,2.6347605297341943,15.368061482906342
1,85.48,130,2.313967512920499,16.06186616420746
1,85.68,135,2.0290716141462326,16.191953718662262
1,85.55,140,1.8014072477817535,16.59474128484726
1,85.61,145,1.7300003659911454,16.960654199123383
1,85.64,150,1.5052830707281828,17.05292648077011
1,85.7,155,1.3404974853619933,16.957730889320374
1,85.73,160,1.230486783431843,16.911569476127625
1,85.74,165,1.174392824061215,17.009740114212036
1,85.72,170,1.1822603044565767,17.088372945785522
1,85.64,175,1.0622915427666157,17.110498011112213
1,85.7,180,1.24690450867638,17.0475195646286
1,85.75,185,1.003534599673003,17.106109619140625
1,85.6,190,1.0258885461371392,17.140512943267822
1,85.73,195,1.0969215449877083,17.148303270339966
1,85.78,200,0.9543665465898812,17.168831408023834
