accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.3209,8.143316745758057,1897.0,707.0,4502.0,4549.0,2759.0,4567.0,4483.0,2247.0,765.0,3524.0,1
0.3982,8.117559432983398,1897.0,707.0,4502.0,4549.0,2759.0,4567.0,4483.0,2247.0,765.0,3524.0,3
0.3195,8.105772018432617,2800.0,3272.0,3389.0,2160.0,4498.0,285.0,4245.0,1406.0,3510.0,4436.0,1
0.4252,8.235091209411621,2800.0,3272.0,3389.0,2160.0,4498.0,285.0,4245.0,1406.0,3510.0,4436.0,3
0.3277,9.47945761680603,3813.0,4724.0,4076.0,1566.0,1805.0,4724.0,4724.0,4724.0,4724.0,119.0,1
0.4257,9.575019598007202,3813.0,4724.0,4076.0,1566.0,1805.0,4724.0,4724.0,4724.0,4724.0,119.0,3
0.3958,9.453089952468872,2374.0,4051.0,3933.0,4244.0,3809.0,4841.0,3108.0,4574.0,3021.0,1044.0,1
0.5007,9.399528503417969,2374.0,4051.0,3933.0,4244.0,3809.0,4841.0,3108.0,4574.0,3021.0,1044.0,3
0.4092,10.717511892318726,4824.0,4824.0,4824.0,313.0,3339.0,2580.0,4824.0,4824.0,4824.0,4824.0,1
0.4998,10.85947060585022,4824.0,4824.0,4824.0,313.0,3339.0,2580.0,4824.0,4824.0,4824.0,4824.0,3
0.3985,10.603445053100586,4562.0,4704.0,4704.0,4526.0,2513.0,4704.0,4424.0,988.0,4704.0,4173.0,1
0.489,10.748159408569336,4562.0,4704.0,4704.0,4526.0,2513.0,4704.0,4424.0,988.0,4704.0,4173.0,3
0.4444,11.951794624328613,3266.0,4930.0,4930.0,4930.0,4858.0,4930.0,4930.0,4930.0,4930.0,2367.0,1
0.5447,12.103930711746216,3266.0,4930.0,4930.0,4930.0,4858.0,4930.0,4930.0,4930.0,4930.0,2367.0,3
0.4214,12.040947675704956,4752.0,4752.0,2341.0,4752.0,4752.0,4752.0,4752.0,4752.0,4640.0,4752.0,1
0.5161,12.041041612625122,4752.0,4752.0,2341.0,4752.0,4752.0,4752.0,4752.0,4752.0,4640.0,4752.0,3
